Name,Image URL,Product URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Ryzen 7 7800X3D,//cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,$269.00 ,AMD,100-100000910WOF,AMD Ryzen 7,Zen 4,Raphael,AM5,8,4.2 GHz,5 GHz,,,8 MB,96 MB,120 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 7600X,//cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,$159.00 ,AMD,100-100000593WOF,AMD Ryzen 5,Zen 4,Raphael,AM5,6,4.7 GHz,5.3 GHz,,,6 MB,32 MB,105 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 5600X,//cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,$129.99 ,AMD,100-100000065BOX,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,3.7 GHz,4.6 GHz,,,3 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 5 7600,//cdna.pcpartpicker.com/static/forever/images/product/4a9bfe0a3f46152eea8bea46c54e1775.256p.jpg,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,$189.00 ,AMD,100-100001015BOX,AMD Ryzen 5,Zen 4,Raphael,AM5,6,3.8 GHz,5.1 GHz,,,6 MB,32 MB,65 W,Radeon,128 GB,Yes,Yes,Boxed,5 nm,Yes,Yes
Intel Core i9-14900K,//cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,$534.99 ,Intel,BX8071514900K,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,3.2 GHz,6 GHz,2.4 GHz,4.4 GHz,32 MB,36 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i7-14700K,//cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.256p.jpg,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,$389.99 ,Intel,BX8071514700K,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,20,3.4 GHz,5.6 GHz,2.5 GHz,4.3 GHz,28 MB,33 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i5-12400F,//cdna.pcpartpicker.com/static/forever/images/product/5fe3c9cc8cbaaa4aa52aed7389d2cc10.256p.jpg,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,$128.33 ,Intel,BX8071512400F,Intel Core i5,Alder Lake,Alder Lake,LGA1700,6,2.5 GHz,4.4 GHz,,,7.5 MB,18 MB,65 W,None,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 3600,//cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,$84.00 ,AMD,"Ryzen 5 3600, 100-100000031BOX",AMD Ryzen 5,Zen 2,Matisse,AM4,6,3.6 GHz,4.2 GHz,,,3 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 7700X,//cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,$287.00 ,AMD,100-100000591WOF,AMD Ryzen 7,Zen 4,Raphael,AM5,8,4.5 GHz,5.4 GHz,,,8 MB,32 MB,105 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 9 7950X3D,//cdna.pcpartpicker.com/static/forever/images/product/4f8b13807b9b9e2ab921ddb6e6e81afb.256p.jpg,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,$567.00 ,AMD,100-100000908WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,16,4.2 GHz,5.7 GHz,,,16 MB,128 MB,120 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 5600,//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,$139.00 ,AMD,100-100000927BOX,AMD Ryzen 5,Zen 3,Vermeer,AM4,6,3.5 GHz,4.4 GHz,,,3 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 5800X,//cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof,$159.00 ,AMD,100-100000063WOF,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,3.8 GHz,4.7 GHz,,,4 MB,32 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
AMD Ryzen 5 5500,//cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,$92.99 ,AMD,100-100000457BOX,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,3.6 GHz,4.2 GHz,,,3 MB,16 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
Intel Core i5-12600KF,//cdna.pcpartpicker.com/static/forever/images/product/01163d618db9518d03041c9997e23bb1.256p.jpg,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,$150.00 ,Intel,BX8071512600KF,Intel Core i5,Alder Lake,Alder Lake,LGA1700,10,3.7 GHz,4.9 GHz,2.8 GHz,3.6 GHz,9.5 MB,20 MB,125 W,None,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i7-12700K,//cdna.pcpartpicker.com/static/forever/images/product/3f7037db801def4db8418df8e7498e6a.256p.jpg,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,$214.98 ,Intel,BX8071512700K,Intel Core i7,Alder Lake,Alder Lake,LGA1700,12,3.6 GHz,5 GHz,2.7 GHz,3.8 GHz,12 MB,25 MB,125 W,Intel UHD Graphics 770,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 5700X,//cdna.pcpartpicker.com/static/forever/images/product/a0931f2db7bb9c37a199429c85a0d2e1.256p.jpg,https://pcpartpicker.com/product/JmhFf7/amd-ryzen-7-5700x-34-ghz-8-core-processor-100-100000926wof,$149.00 ,AMD,100-100000926WOF,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,3.4 GHz,4.6 GHz,,,4 MB,32 MB,65 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i7-13700K,//cdna.pcpartpicker.com/static/forever/images/product/2f3405387f23ab827695d966ea9f9682.256p.jpg,https://pcpartpicker.com/product/Mm6p99/intel-core-i7-13700k-34-ghz-16-core-processor-bx8071513700k,$359.00 ,Intel,"BX8071513700K, i7-13700K",Intel Core i7,Raptor Lake,Raptor Lake,LGA1700,16,3.4 GHz,5.4 GHz,2.5 GHz,4.2 GHz,24 MB,30 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i5-12600K,//cdna.pcpartpicker.com/static/forever/images/product/3f727799b9fc5e83f0e8953759946bd2.256p.jpg,https://pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k,$175.34 ,Intel,BX8071512600K,Intel Core i5,Alder Lake,Alder Lake,LGA1700,10,3.7 GHz,4.9 GHz,2.8 GHz,3.6 GHz,9.5 MB,20 MB,125 W,Intel UHD Graphics 770,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 5800X3D,//cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,$317.91 ,AMD,100-100000651WOF,AMD Ryzen 7,Zen 3,Vermeer-X,AM4,8,3.4 GHz,4.5 GHz,,,4 MB,96 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
AMD Ryzen 9 7900X,//cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,$396.58 ,AMD,100-100000589WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,12,4.7 GHz,5.6 GHz,,,12 MB,64 MB,170 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 5600G,//cdna.pcpartpicker.com/static/forever/images/product/1dd09dfdc581be6224a323d49d714c7f.256p.jpg,https://pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box,$132.99 ,AMD,100-100000252BOX,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,3.9 GHz,4.4 GHz,,,3 MB,16 MB,65 W,Radeon Vega 7,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 9 5900X,//cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,$261.99 ,AMD,100-100000061WOF,AMD Ryzen 9,Zen 3,Vermeer,AM4,12,3.7 GHz,4.8 GHz,,,6 MB,64 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i5-13600K,//cdna.pcpartpicker.com/static/forever/images/product/535b5631a223b77657804c8144c1277e.256p.jpg,https://pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,$268.98 ,Intel,"BX8071513600K, i5-13600K",Intel Core i5,Raptor Lake,Raptor Lake,LGA1700,14,3.5 GHz,5.1 GHz,2.6 GHz,3.9 GHz,20 MB,24 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i7-12700KF,//cdna.pcpartpicker.com/static/forever/images/product/b69e4a2d3dd9f8fac9ed6bf1b631b0ce.256p.jpg,https://pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf,$228.90 ,Intel,BX8071512700KF,Intel Core i7,Alder Lake,Alder Lake,LGA1700,12,3.6 GHz,5 GHz,2.7 GHz,3.8 GHz,12 MB,25 MB,125 W,None,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i9-14900KS,//cdna.pcpartpicker.com/static/forever/images/product/7f03744e2c593edbbf711b21d85c59b3.256p.jpg,https://pcpartpicker.com/product/3ZmNnQ/intel-core-i9-14900ks-32-ghz-24-core-processor-bx8071514900ks,$662.95 ,Intel,BX8071514900KS,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,3.2 GHz,6.2 GHz,2.4 GHz,4.5 GHz,32 MB,36 MB,150 W,None,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i3-12100F,//cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg,https://pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,$94.98 ,Intel,BX8071512100F,Intel Core i3,Alder Lake,Alder Lake,LGA1700,4,3.3 GHz,4.3 GHz,,,5 MB,12 MB,58 W,None,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 7 7700,//cdna.pcpartpicker.com/static/forever/images/product/6e6bcad6744a6a7302394f2edf5a6e34.256p.jpg,https://pcpartpicker.com/product/dXmmP6/amd-ryzen-7-7700-36-ghz-8-core-processor-100-100000592box,$281.63 ,AMD,100-100000592BOX,AMD Ryzen 7,Zen 4,Raphael,AM5,8,3.6 GHz,5.3 GHz,,,8 MB,32 MB,65 W,Radeon,128 GB,Yes,Yes,Boxed,5 nm,Yes,Yes
Intel Core i9-13900K,//cdna.pcpartpicker.com/static/forever/images/product/9ec7bf0f10e60c175e9b64c51bab7240.256p.jpg,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k,$474.98 ,Intel,"BX8071513900K, i9-13900K",Intel Core i9,Raptor Lake,Raptor Lake,LGA1700,24,3 GHz,5.8 GHz,2.2 GHz,4.3 GHz,32 MB,36 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Threadripper 3990X,//cdna.pcpartpicker.com/static/forever/images/product/7e2e7fecadc261c89c70cf3965a97a28.256p.jpg,https://pcpartpicker.com/product/KWmFf7/amd-threadripper-3990x-29-ghz-64-core-processor-100-100000163wof,"$4,255.00 ",AMD,100-100000163WOF,AMD Threadripper,Zen 2,Castle Peak,sTRX4,64,2.9 GHz,4.3 GHz,,,32 MB,256 MB,280 W,None,1024 GB,Yes,No,Boxed,7 nm,No,Yes
Intel Core i7-14700KF,//cdna.pcpartpicker.com/static/forever/images/product/92061d6108d4c4bf0deb77943506df11.256p.jpg,https://pcpartpicker.com/product/TWP8TW/intel-core-i7-14700kf-34-ghz-20-core-processor-bx8071514700kf,$363.99 ,Intel,BX8071514700KF,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,20,3.4 GHz,5.6 GHz,2.5 GHz,4.3 GHz,28 MB,33 MB,125 W,None,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i9-12900K,//cdna.pcpartpicker.com/static/forever/images/product/b9d3c68bbf713cdd1211f3792040ce95.256p.jpg,https://pcpartpicker.com/product/gGH7YJ/intel-core-i9-12900k-32-ghz-8-core-processor-bx8071512900k,$334.00 ,Intel,BX8071512900K,Intel Core i9,Alder Lake,Alder Lake,LGA1700,16,3.2 GHz,5.2 GHz,2.4 GHz,3.9 GHz,14 MB,30 MB,125 W,Intel UHD Graphics 770,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 9 7900X3D,//cdna.pcpartpicker.com/static/forever/images/product/98c4874ed550e2bbcc2d29d67177ddc8.256p.jpg,https://pcpartpicker.com/product/XccgXL/amd-ryzen-9-7900x3d-44-ghz-12-core-processor-100-100000909wof,$360.56 ,AMD,100-100000909WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,12,4.4 GHz,5.6 GHz,,,12 MB,128 MB,120 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 4500,//cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg,https://pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,$77.77 ,AMD,100-100000644BOX,AMD Ryzen 5,Zen 2,Renoir-X,AM4,6,3.6 GHz,4.1 GHz,,,3 MB,8 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 9 7950X,//cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof,$510.38 ,AMD,100-100000514WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,16,4.5 GHz,5.7 GHz,,,16 MB,64 MB,170 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
Intel Core i5-14600K,//cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg,https://pcpartpicker.com/product/jXFmP6/intel-core-i5-14600k-35-ghz-14-core-processor-bx8071514600k,$305.99 ,Intel,BX8071514600K,Intel Core i5,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,14,3.5 GHz,5.3 GHz,2.6 GHz,4 GHz,20 MB,24 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 3700X,//cdna.pcpartpicker.com/static/forever/images/product/23cd3adfd50037c1b44d6d53edb15248.256p.jpg,https://pcpartpicker.com/product/QKJtt6/amd-ryzen-7-3700x-36-ghz-8-core-processor-100-100000071box,$178.89 ,AMD,"Ryzen 7 3700X, 100-100000071BOX",AMD Ryzen 7,Zen 2,Matisse,AM4,8,3.6 GHz,4.4 GHz,,,4 MB,32 MB,65 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
Intel Core i7-13700KF,//cdna.pcpartpicker.com/static/forever/images/product/b2de198020c1bb1bda375064b94e60dc.256p.jpg,https://pcpartpicker.com/product/w86p99/intel-core-i7-13700kf-34-ghz-16-core-processor-bx8071513700kf,$303.49 ,Intel,"BX8071513700KF, i7-13700KF",Intel Core i7,Raptor Lake,Raptor Lake,LGA1700,16,3.4 GHz,5.4 GHz,2.5 GHz,4.2 GHz,24 MB,30 MB,125 W,None,192 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 5700G,//cdna.pcpartpicker.com/static/forever/images/product/f599944d7bed683e57062447764ce9d9.256p.jpg,https://pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box,$174.00 ,AMD,100-100000263BOX,AMD Ryzen 7,Zen 3,Cezanne,AM4,8,3.8 GHz,4.6 GHz,,,4 MB,16 MB,65 W,Radeon Vega 8,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 5700X3D,//cdna.pcpartpicker.com/static/forever/images/product/7945bbda871bfbf95a9138fd184f4a6e.256p.jpg,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,$229.00 ,AMD,100-100001503WOF,AMD Ryzen 7,Zen 3,Vermeer-X,AM4,8,3 GHz,4.1 GHz,,,4 MB,96 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
AMD Ryzen 5 7500F,/static/forever/img/no-image.png,https://pcpartpicker.com/product/zGn9TW/amd-ryzen-5-7500f-37-ghz-6-core-processor-100-100000597box,,AMD,100-100000597BOX,AMD Ryzen 5,Zen 4,Raphael,AM5,6,3.7 GHz,5 GHz,,,6 MB,32 MB,65 W,None,128 GB,Yes,Yes,Boxed,5 nm,Yes,Yes
Intel Core i5-14600KF,//cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg,https://pcpartpicker.com/product/zyyH99/intel-core-i5-14600kf-35-ghz-14-core-processor-bx8071514600kf,$294.00 ,Intel,BX8071514600KF,Intel Core i5,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,14,3.5 GHz,5.3 GHz,2.6 GHz,4 GHz,20 MB,24 MB,125 W,None,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 9 5950X,//cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,https://pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof,$363.44 ,AMD,100-100000059WOF,AMD Ryzen 9,Zen 3,Vermeer,AM4,16,3.4 GHz,4.9 GHz,,,8 MB,64 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i9-14900KF,//cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg,https://pcpartpicker.com/product/YJRwrH/intel-core-i9-14900kf-32-ghz-24-core-processor-bx8071514900kf,$509.14 ,Intel,BX8071514900KF,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,3.2 GHz,6 GHz,2.4 GHz,4.4 GHz,32 MB,36 MB,125 W,None,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i5-10400F,//cdna.pcpartpicker.com/static/forever/images/product/e5d8c71ba7c15404b87a7fcdf7251281.256p.jpg,https://pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f,$97.25 ,Intel,BX8070110400F,Intel Core i5,Comet Lake,Comet Lake,LGA1200,6,2.9 GHz,4.3 GHz,,,1.5 MB,12 MB,65 W,None,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 4600G,//cdna.pcpartpicker.com/static/forever/images/product/29ffd579cd750d1f43cba3ba1c578d8c.256p.jpg,https://pcpartpicker.com/product/CNVmP6/amd-ryzen-5-4600g-37-ghz-6-core-processor-100-100000147box,$90.00 ,AMD,100-100000147BOX,AMD Ryzen 5,Zen 2,Renoir,AM4,6,3.7 GHz,4.2 GHz,,,3 MB,8 MB,65 W,Radeon Vega 7,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 5 2600,//cdna.pcpartpicker.com/static/forever/images/product/55aea2dd64e2e3a3e3b1d678048d8d76.256p.jpg,https://pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox,$150.00 ,AMD,YD2600BBAFBOX,AMD Ryzen 5,Zen+,Pinnacle Ridge,AM4,6,3.4 GHz,3.9 GHz,,,3 MB,15.99 MB,65 W,None,64 GB,No,Yes,Boxed,12 nm,Yes,Yes
Intel Core i5-12400,//cdna.pcpartpicker.com/static/forever/images/product/331bcd7f5044608c8b4e0a2437219229.256p.jpg,https://pcpartpicker.com/product/tLKKHx/intel-core-i5-12400-25-ghz-6-core-processor-bx8071512400,$158.03 ,Intel,BX8071512400,Intel Core i5,Alder Lake,Alder Lake,LGA1700,6,2.5 GHz,4.4 GHz,,,7.5 MB,18 MB,65 W,Intel UHD Graphics 730,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i7-8700K,//cdna.pcpartpicker.com/static/forever/images/product/d7dea28613ac935e748d330d16ffea69.256p.jpg,https://pcpartpicker.com/product/sxDzK8/intel-core-i7-8700k-37ghz-6-core-processor-bx80684i78700k,$193.00 ,Intel,BX80684I78700K,Intel Core i7,Coffee Lake,Coffee Lake,LGA1151,6,3.7 GHz,4.7 GHz,,,1.5 MB,12 MB,95 W,Intel UHD Graphics 630,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
AMD Ryzen 5 8600G,//cdna.pcpartpicker.com/static/forever/images/product/b0f68ec390cecc98e1b988926131e707.256p.jpg,https://pcpartpicker.com/product/QqyH99/amd-ryzen-5-8600g-43-ghz-6-core-processor-100-100001237box,$228.99 ,AMD,100-100001237BOX,AMD Ryzen 5,Zen 4,Phoenix 1,AM5,6,4.3 GHz,5 GHz,,,6 MB,16 MB,65 W,Radeon 760M,,No,Yes,Boxed,4 nm,Yes,Yes
Intel Core i9-13900KF,//cdna.pcpartpicker.com/static/forever/images/product/ef583b00501fbe1d9df909c3ffe2b413.256p.jpg,https://pcpartpicker.com/product/CgkWGX/intel-core-i9-13900kf-3-ghz-24-core-processor-bx8071513900kf,$464.99 ,Intel,"BX8071513900KF, i7-13900KF",Intel Core i9,Raptor Lake,Raptor Lake,LGA1700,24,3 GHz,5.8 GHz,2.2 GHz,4.3 GHz,32 MB,36 MB,125 W,None,192 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i3-10100F,//cdna.pcpartpicker.com/static/forever/images/product/1b6a8775e713620ebc864fb7bcc38ce5.256p.jpg,https://pcpartpicker.com/product/r8Dkcf/intel-core-i3-10100f-36-ghz-quad-core-processor-bx8070110100f,$70.56 ,Intel,BX8070110100F,Intel Core i3,Comet Lake,Comet Lake,LGA1200,4,3.6 GHz,4.3 GHz,,,1 MB,6 MB,65 W,None,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
AMD Threadripper 3970X,//cdna.pcpartpicker.com/static/forever/images/product/f2cacb6e0f6003d798989357654aff3c.256p.jpg,https://pcpartpicker.com/product/rkwkcf/amd-threadripper-3970x-37-ghz-32-core-processor-100-100000011wof,"$1,675.00 ",AMD,100-100000011WOF,AMD Threadripper,Zen 2,Castle Peak,sTRX4,32,3.7 GHz,4.5 GHz,,,16 MB,128 MB,280 W,None,512 GB,Yes,No,Boxed,7 nm,No,Yes
Intel Core i7-14700F,//cdna.pcpartpicker.com/static/forever/images/product/367d869b80f32e8faa3075378677e28e.256p.jpg,https://pcpartpicker.com/product/9jCZxr/intel-core-i7-14700f-21-ghz-20-core-processor-bx8071514700f,$369.00 ,Intel,BX8071514700F,Intel Core i7,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,20,2.1 GHz,5.4 GHz,1.5 GHz,4.2 GHz,28 MB,33 MB,65 W,None,192 GB,Yes,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
AMD Ryzen 5 3600X,//cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,https://pcpartpicker.com/product/3WYLrH/amd-ryzen-5-3600x-38-ghz-6-core-processor-100-100000022box,$210.00 ,AMD,"Ryzen 5 3600X, 100-100000022BOX",AMD Ryzen 5,Zen 2,Matisse,AM4,6,3.8 GHz,4.4 GHz,,,3 MB,32 MB,95 W,None,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 7 2700X,//cdna.pcpartpicker.com/static/forever/images/product/4e84967ef18c9b42e543b58c836d73ef.256p.jpg,https://pcpartpicker.com/product/bddxFT/amd-ryzen-7-2700x-37ghz-8-core-processor-yd270xbgafbox,$210.00 ,AMD,YD270XBGAFBOX,AMD Ryzen 7,Zen+,Pinnacle Ridge,AM4,8,3.7 GHz,4.3 GHz,,,4 MB,16 MB,105 W,None,64 GB,No,Yes,Boxed,12 nm,Yes,Yes
